City,Latitude,Longitude,Max Tem,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,ID,Date
grootfontein,-19.5667,18.1167,68.0,68.0,88,75,2.3,NA,3357114,1616077450
bernal,-5.45,-80.75,79.03,79.03,58,100,5.59,PE,3699350,1616077450
bukama,-9.2,25.85,85.39,85.39,63,93,1.28,CD,217834,1616077451
haines junction,60.7522,-137.5108,21.2,21.2,53,2,5.75,CA,5969025,1616077451
sycow,51.3081,17.7198,42.01,42.01,67,78,8.77,PL,3083921,1616077451
savannah bight,16.45,-85.85,82.99,82.99,81,46,4.0,HN,3601402,1616077452
sibu,2.3,111.8167,75.2,75.07,94,40,4.61,MY,1735902,1616077217
bilibino,68.0546,166.4372,-20.63,-20.63,83,0,2.48,RU,2126682,1616077452
ishigaki,24.3448,124.1572,72.59,72.59,83,4,12.73,JP,1861416,1616077453
hasaki,35.7333,140.8333,53.6,51.75,82,75,4.61,JP,2112802,1616077171
faanui,-16.4833,-151.75,81.82,81.82,72,5,9.13,PF,4034551,1616077183
makat,47.6469,53.3463,48.18,48.18,60,0,12.62,KZ,608872,1616077453
smolenka,52.1352,113.4974,21.2,21.2,93,100,2.24,RU,2016405,1616077453
portland,45.5234,-122.6762,44.6,42.33,81,90,4.61,US,5746545,1616076809
sohbatpur,28.5202,68.5434,86.09,86.09,13,26,7.18,PK,1164660,1616077454
tura,25.5198,90.2201,73.2,73.2,21,0,3.2,IN,1254046,1616077454
ribeira grande,38.5167,-28.7,62.6,62.6,77,75,16.11,PT,3372707,1616077455
yerbogachen,61.2767,108.0108,12.51,12.51,92,26,7.92,RU,2012956,1616077455
san clemente,33.427,-117.612,50.0,48.18,93,44,2.89,US,5391791,1616077455
sevierville,35.8681,-83.5618,61.0,60.04,100,90,5.75,US,4656585,1616077360
sokolo,14.7328,-6.1219,98.83,98.83,7,66,6.15,ML,2450849,1616077456
muscatine,41.4667,-91.1335,37.4,36.86,87,40,19.57,US,4868410,1616077456
saint-augustin,51.226,-58.6502,20.88,20.88,88,100,4.5,CA,6137462,1616077359
airai,-8.9266,125.4092,60.58,60.58,90,89,1.54,TL,1651810,1616077456
namatanai,-3.6667,152.4333,80.46,80.46,74,20,6.22,PG,2090021,1616077457
abu kamal,34.4506,40.9171,67.39,67.39,31,48,5.19,SY,174448,1616077457
codrington,-38.2667,141.9667,57.85,57.85,81,0,2.66,AU,2171099,1616077457
bud,39.447,-86.1758,44.6,44.19,100,90,19.57,US,4255151,1616077458
fairbanks,64.8378,-147.7164,3.99,1.15,71,75,2.15,US,5861897,1616077392
maxixe,-23.8597,35.3472,87.8,87.39,62,20,6.91,MZ,1039536,1616077458
ryotsu,38.0833,138.4333,42.94,42.94,62,100,4.21,JP,1853371,1616077459
jumilla,38.4792,-1.325,48.99,46.11,88,98,1.99,ES,2516255,1616077459
laguna,38.421,-121.4238,48.99,47.37,87,90,3.24,US,5364271,1616077459
bac lieu,9.285,105.7244,78.37,78.37,82,0,11.16,VN,1591474,1616077460
atikokan,48.7555,-91.6216,28.08,28.08,78,0,4.05,CA,5888001,1616077460
robore,-18.3333,-59.75,69.8,69.8,100,90,4.61,BO,3444176,1616077460
illapel,-31.6308,-71.1653,64.13,64.13,61,39,4.41,CL,3887344,1616077461
muros,42.7762,-9.0603,62.01,62.01,49,69,7.0,ES,3115824,1616077461
